차종,연비,연로
2022 GV60,정보없음,정보없음
2022 GV80,8.0~11.8km/ℓ,8.0~11.8km/ℓ
2021 GV70,8.5~13.5km/ℓ,8.5~13.5km/ℓ
2022 G80,8.4~14.6km/ℓ,8.4~14.6km/ℓ
2021 G70,8.9~14.9km/ℓ,8.9~14.9km/ℓ
2021 G90,7.3~8.9km/ℓ,7.3~8.9km/ℓ
2021 일렉트리파이드 G80,4.3km/kWh,4.3km/kWh
2021 G90L,7.2km/ℓ,7.2km/ℓ
2021 G70 슈팅브레이크,정보없음,정보없음
