,홈화면 자동차 제조사
0,현대
1,기아
2,제네시스
3,르노삼성
4,쌍용
5,폭스바겐
6,벤츠
7,BMW
8,아우디
9,렉서스
10,토요타
11,혼다
12,볼보
13,미니
14,재규어
15,랜드로버
16,포드
17,링컨
