,전체 제조사
0,현대
1,기아
2,제네시스
3,르노삼성
4,쌍용
5,폭스바겐
6,벤츠
7,BMW
8,아우디
9,렉서스
10,토요타
11,혼다
12,볼보
13,미니
14,재규어
15,랜드로버
16,포드
17,링컨
18,쉐보레
19,캐딜락
20,테슬라
21,지프
22,르노
23,푸조
24,시트로엥
25,DS
26,마세라티
27,포르쉐
28,람보르기니
29,페라리
30,맥라렌
31,부가티
32,애스턴마틴
33,마이바흐
34,롤스로이스
35,벤틀리
36,닛산
37,로터스
38,마쯔다
39,미쓰비시
40,복스홀
41,뷰익
